"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: CDA (R2)","Mapping: FiveWs Pattern Mapping","Mapping: HL7 v2 Mapping","Mapping: LOINC code for the element"
"Patient","Patient","","SubjectOfCare Client Resident
","",0,*,"","","","null {[]} {[]}
","接受健康医护服务的个人信息","关于接受医护或其他健康相关服务的个人的人口统计学和其他行政信息。","","","","","","","","","",,,,,"",,,,"Patient",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Entity. Role, or Act","Patient[classCode=PAT]","ClinicalDocument.recordTarget.patientRole"
"Patient.id","Patient.id","","","",0,1,"","","Y","id {[]} {[]}
","不重复的ID用以识别储存在特定FHIR Server中的Patient纪录，通常又称为逻辑性ID。","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","一个resource使用新增操作（create operation）提交给伺服器时，此resource没有id，它的id在resource被创建后由伺器分配/指定。","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Patient.meta","Patient.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Patient.implicitRules","Patient.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Patient.language","Patient.language","","","",0,1,"","","","code {[]} {[]}
","用以表述Patient Resource内容的语言。","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""zh-cn""/>","","",,"preferred","","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Patient.identifier:medicalRecord.type.id","Patient.identifier.type.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Patient.identifier:medicalRecord.type.extension","Patient.identifier.type.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Patient.identifier:medicalRecord.type.coding","Patient.identifier.type.coding","","","",1,*,"","","Y","Coding {[]} {[]}
","由专门术语系统（terminology system）定义的代码","A reference to a code defined by a terminology system.","代码可以在列举清单（enumerations）或代码清单（code lists）中非常随意地定义，直至有非常正式的定义，例如：SNOMED CT—更多信息见HL7 v3核心原则（Core Principles）。编码的排序是未定义的因而 **必须没有（SHALL NOT）** 被用来推断意义。一般来说，最多只有一个编码值（coding values）会被标记为UserSelected = true。","允许编码系统中的替代编码，以及翻译到其他编码系统。","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","union(., ./translation)","C*E.1-8, C*E.10-22"
"Patient.identifier:medicalRecord.type.coding.id","Patient.identifier.type.coding.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Patient.identifier:medicalRecord.type.coding.extension","Patient.identifier.type.coding.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Patient.identifier:medicalRecord.type.coding.system","Patient.identifier.type.coding.system","","","",1,1,"Y","","Y","uri {[]} {[]}
","专门术语系统（terminology system）的识别","定义代码中符号意义的编码系统识别","URI可以是一个OID（urn:oid:...）或一个UUID（urn:uuid:...）；OID和UUID **必须（SHALL）** 参照HL7 OID注册中心；否则，URI应该来自HL7的FHIR定义的特殊URI列表，或者它应该参照一些明确建立的系统定义。","需要明确说明符号定义的来源","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://terminology.hl7.org/CodeSystem/v2-0203""/>","","","",,,,,"",,,,"Coding.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./codeSystem","C*E.3"
"Patient.identifier:medicalRecord.type.coding.version","Patient.identifier.type.coding.version","","","",0,1,"","","Y","string {[]} {[]}
","系统的版本—如果相关的话","选择此代码时使用的编码系统版本；请注意，一个维护良好的编码系统不需要版本报告，因为代码的意义在不同系统版本中是一致的；然而，不能始终保证这点，当不能保证意义一致时， **必须（SHALL）** 将版本信息也一并作交换。","如果专门术语没有明确定义应该使用什么字串来识别编码系统的版本，建议使用版本正式发布的日期（用FHIR日期格式表示）作为版本日期。","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./codeSystemVersion","C*E.7"
"Patient.identifier:medicalRecord.type.coding.code","Patient.identifier.type.coding.code","","","",1,1,"Y","","Y","code {[]} {[]}
","系统定义的语法之符号","系统定义的语法之符号；符号可能是一个预先定义的代码，也可能是编码系统定义的语法中的表达式（如后组合配对／后组合式）。","","需要参照系统中的一个特定代码","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""MR""/>","","","",,,,,"",,,,"Coding.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./code","C*E.1"
"Patient.identifier:medicalRecord.type.coding.display","Patient.identifier.type.coding.display","","","",0,1,"Y","","Y","string {[]} {[]}
","由编码系统定义的描述","遵循系统的规则以呈现代码含义的描述","","需要能为不了解此系统的读者呈现可读的代码含义","","","","","","","",,,,,"",,,,"Coding.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CV.displayName","C*E.2 - but note this is not well followed"
"Patient.identifier:medicalRecord.type.coding.userSelected","Patient.identifier.type.coding.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","此编码是否由使用者直接选择？","表明此编码是由使用者直接选择，例如：从可用项目（代码或显示名称）的清单中选择。","在一系列备选方案中，直接选择的代码是新翻译最合适的起点；关于「直接选择」的确切意义，存在模糊不清之处，可能需要贸易伙伴的同意，以更完整澄清此资料项目的使用及其后果。","已被确定为一个临床安全准则—此确切的系统／代码对(code pair)是被明确选择的，而不是由编码系统根据一些规则或是程序语言处理判断。","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CD.codingRationale","Sometimes implied by being first"
"Patient.identifier:medicalRecord.type.text","Patient.identifier.type.text","","","",0,1,"Y","","Y","string {[]} {[]}
","概念的文字描述","输入资料的使用者所见／所选／所说的人类可读文字表述，和（或）其代表使用者的预期含义。","很多时候，此文字表述与其中一个代码的显示名称相同。","专门术语中的代码并不总是能捕捉人类使用的细微差别的正确意义，或者根本就没有合适的代码；这些情况下，文字表述被用来捕捉来源的全部意义。","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./originalText[mediaType/code=""text/plain""]/data","C*E.9. But note many systems use C*E.2 for this"
"Patient.identifier:medicalRecord.system","Patient.identifier.system","","","",1,1,"Y","","Y","uri {[]} {[]}
","身份识别码（identifier）的命名空间（namespace），可至[twTerminology](https://.mohw.gov.tw/ts/namingsystem.jsp?status=active&amp;type=0)申请或查询命名系统。","建立值的命名空间－即一个描述一组值的唯一URL","Identifier.system总是区分大小写","有许多识别码的集合。为了进行两个识别码的对应，我们需要知道我们处理的是哪一组。系统指明了一个特定的唯一识别码集。","","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>","","",,,,,"",,,,"Identifier.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","II.root or Role.id.root","CX.4 / EI-2-4"
"Patient.identifier:medicalRecord.value","Patient.identifier.value","","","",1,1,"Y","","Y","string {[]} {[]}
","唯一值。
例如：病历号为8862168","识别码中通常与使用者有关的部分，在编码系统作用域内是唯一的。","如果此值是一个完整的URI，那么此系统 **必须（SHALL）** 是urn:ietf:rfc:3986。此值的主要目的是为了可运算的对应。因此，为了比较的目的，它可能会被正规化（例如：去除不重要的空白、破折号等）。一个为人显示的格式化的值可以使用[Rendered Value](http://hl7.org/fhir/R4/extension-rendered-value.html)扩充来传达。除非对Identifier.system的了解使处理者确信不区分大小写的处理是安全的，否则Identifier.value应被视为区分大小写。","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""123456""/>","","",,,,,"",,,,"Identifier.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)","CX.1 / EI.1"
"Patient.identifier:medicalRecord.period","Patient.identifier.period","","","",0,1,"","","Y","Period {[]} {[]}
","此身份识别码（identifier）的使用效期","识别码有效／曾经有效使用的时段或期间","","","","","","","","","",,,,,"",,,,"Identifier.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Role.effectiveTime or implied by context","CX.7 + CX.8"
"Patient.identifier:medicalRecord.assigner","Patient.identifier.assigner","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","签发identifier的机构（可以只是文字表述）","签发／管理识别码的机构","Identifier.assigner可以省略.reference资料项目，只包含一个.display资料项目，反映指定机构的名称或其他文字表述信息。","","","","","","","","",,,,,"",,,,"Identifier.assigner",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper","CX.4 / (CX.4,CX.9,CX.10)"
"Patient.active","Patient.active","","","",0,1,"Y","Y","Y","boolean {[]} {[]}
","病人的纪录是否「使用中（true）」","这位病人的纪录是否在使用中（active）。许多系统使用这个属性来标记为非现有（non-current）病人，例如那些根据机构的业务规则在一段时间内没有被看到的病人。

它经常被用来过滤病人清单以排除inactive的病人

已过世的病人也可能因为同样的原因被标记为inactive，但在过世后的一段时间内可能是active。","如果一笔病人纪录没有在使用，但与另一笔使用中的病人纪录相连结，那么未来的病人／纪录更新应该发生在另一笔病人纪录。","若纪录因为错误而创建，需要能够将这位病人纪录标记为不使用","","This resource is generally assumed to be active if no value is provided for the active element","","","","","",,,,,"",,,,"Patient.active",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","statusCode","n/a","FiveWs.status"
"Patient.name","Patient.name","","","",0,*,"","","Y","HumanName {[]} {[]}
","病人的姓名","个人名字","一位病人可能有多个姓名，有不同的用途或适用期。对于动物来说，这个姓名是一个「HumanName」，它是人类指定和使用的，具有相同的模式。","需要能够追踪病人的多个姓名。例如：正式姓名及配偶姓名。 **必须（SHALL）** 总是提供姓名的完整拼法。","","","","","","","",,,,,"","pattern:use}
","",,"open","Patient.name",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","name",".patient.name","PID-5, PID-9"
"Patient.name.id","Patient.name.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Patient.name.extension","Patient.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Patient.name.use","Patient.name.use","","","",0,1,"","Y","Y","code {[]} {[]}
","usual | official | temp | nickname | anonymous | old | maiden","此姓名的用途","Applications can assume that a name is current unless it explicitly says that it is temporary or old.","允许从一组姓名中为特定的使用场景选择适当的姓名","","","","","","","",,"required","人名的使用情况；应填入所绑定值集中的其中一个代码。","http://hl7.org/fhir/ValueSet/name-use|4.0.1","",,,,"HumanName.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","unique(./use)","XPN.7, but often indicated by which field contains the name"
"Patient.name.text","Patient.name.text","","","",0,1,"","","Y","string {[]} {[]}
","Text representation of the full name","Specifies the entire name as it should be displayed e.g. on an application UI. This may be provided instead of or as well as the specific parts.","Can provide both a text representation and parts. Applications updating a name SHALL ensure that when both text and parts are present,  no content is included in the text that isn't found in a part.","A renderable, unencoded form.","","","","","","","",,,,,"",,,,"HumanName.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./formatted","implied by XPN.11"
"Patient.name.family","Patient.name.family","","surname
","",0,1,"","","Y","string {[]} {[]}
","Family name (often called 'Surname')","The part of a name that links to the genealogy. In some cultures (e.g. Eritrea) the family name of a son is the first name of his father.","Family Name may be decomposed into specific parts using extensions (de, nl, es related cultures).","","","","","","","","",,,,,"",,,,"HumanName.family",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = FAM]","XPN.1/FN.1"
"Patient.name.given","Patient.name.given","","first name
middle name","",0,*,"","","Y","string {[]} {[]}
","Given names (not always 'first'). Includes middle names","Given name.","If only initials are recorded, they may be used in place of the full name parts. Initials may be separated into multiple given names but often aren't due to paractical limitations.  This element is not called ""first name"" since given names do not always come first.","","","","","","","","",,,,,"",,,,"HumanName.given",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = GIV]","XPN.2 + XPN.3"
"Patient.name.prefix","Patient.name.prefix","","","",0,*,"","","Y","string {[]} {[]}
","Parts that come before the name","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the start of the name.","","","","","","","","","",,,,,"",,,,"HumanName.prefix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = PFX]","XPN.5"
"Patient.name.suffix","Patient.name.suffix","","","",0,*,"","","Y","string {[]} {[]}
","Parts that come after the name","Part of the name that is acquired as a title due to academic, legal, employment or nobility status, etc. and that appears at the end of the name.","","","","","","","","","",,,,,"",,,,"HumanName.suffix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = SFX]","XPN/4"
"Patient.name.period","Patient.name.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when name was/is in use","Indicates the period of time when this name was valid for the named person.","","Allows names to be placed in historical context.","","","","","","","",,,,,"",,,,"HumanName.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./usablePeriod[type=""IVL<TS>""]","XPN.13 + XPN.14"
"Patient.name:official","Patient.name","official","","",0,1,"Y","","Y","HumanName {[]} {[]}
","病人的护照姓名","A name associated with the individual.","A patient may have multiple names with different uses or applicable periods. For animals, the name is a ""HumanName"" in the sense that is assigned and used by humans and has the same patterns.","Need to be able to track the patient by multiple names. Examples are your official name and a partner name.","","","","","","","",,,,,"",,,,"Patient.name",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
rl-patient-name:Patient.name.text or Patient.name.family or both SHALL be present {text.exists() or family.exists()}","name",".patient.name","PID-5, PID-9"
"Patient.name:official.id","Patient.name.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Patient.name:official.extension","Patient.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Patient.name:official.use","Patient.name.use","","","",1,1,"Y","Y","Y","code {[]} {[]}
","usual | official | temp | nickname | anonymous | old | maiden","Identifies the purpose for this name.","Applications can assume that a name is current unless it explicitly says that it is temporary or old.","Allows the appropriate name for a particular context of use to be selected from among a set of names.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""official""/>","","","",,"required","The use of a human name.","http://hl7.org/fhir/ValueSet/name-use|4.0.1","",,,,"HumanName.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","unique(./use)","XPN.7, but often indicated by which field contains the name"
"Patient.name:official.text","Patient.name.text","","","",0,1,"Y","","Y","string {[]} {[]}
","完整的护照姓名","完整姓名的文字表述。由于世界各地的文化差异，取得资料的系统可能不知道如何正确地呈现姓名；此外，不是所有的名字部分都呈现予姓或名。因此，我们强烈建议创建者透过这个资料项目提供姓名的显示文字。","可以同时提供文字表述（text）和部分（part）。更新姓名的应用程序 **必须（SHALL）** 确保当test和lpart都存在时，text中不包含part中没有的内容。","一个可呈现的、未编码的形式。","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Chia-Lin Chan""/>","","",,,,,"",,,,"HumanName.text",0,1,"rl-patient-name
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./formatted","implied by XPN.11"
"Patient.name:official.family","Patient.name.family","","surname
","",0,1,"Y","","Y","string {[]} {[]}
","护照中的姓","姓名中与族谱相关的部分。在一些文化中（如厄立特里亚），儿子的姓氏是其父亲的名字。","姓氏可以使用扩充名（de、nl、es相关文化）分解成具体的部分（part）","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Chen""/>","","",,,,,"",,,,"HumanName.family",0,1,"rl-patient-name
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = FAM]","XPN.1/FN.1"
"Patient.name:official.given","Patient.name.given","","first name
middle name","",0,*,"Y","","Y","string {[]} {[]}
","护照中的名","姓名中的「名」","如果只记录首字母，可以用它们来代替完整姓名。首字母可以分为多个名，但由于实际情况的限制，通常不会这样做。这个资料项目不被称为 「first name」，因为「given name」并不总是排在前面。","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Chia-Lin""/>","","",,,,,"",,,,"HumanName.given",0,*,"rl-patient-name
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = GIV]","XPN.2 + XPN.3"
"Patient.name:official.prefix","Patient.name.prefix","","","",0,*,"","","Y","string {[]} {[]}
","姓名前面的头衔
由于学术，法律，职业或贵族身份等原因而获得头衔，出现在姓名开头。","由于学术、法规、就业或贵族身份等原因而获得的名，并出现在姓名的开头。","","","","","","","","","",,,,,"",,,,"HumanName.prefix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = PFX]","XPN.5"
"Patient.name:official.suffix","Patient.name.suffix","","","",0,*,"","","Y","string {[]} {[]}
","姓名后面的称谓
由于学术，法律，职业或贵族身份等原因而获得头衔，出现在姓名之后。","由于学术、法规、就业或贵族身份等原因而获得的名，并出现在姓名的开头。","","","","","","","","","",,,,,"",,,,"HumanName.suffix",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = SFX]","XPN/4"
"Patient.name:official.period","Patient.name.period","","","",0,1,"","","Y","Period {[]} {[]}
","此姓名的使用效期","表明这个姓名对此病人有效的时间区间或期间","","允许多个姓名按其历史场景（效期）储存","","","","","","","",,,,,"",,,,"HumanName.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./usablePeriod[type=""IVL<TS>""]","XPN.13 + XPN.14"
"Patient.name:usual","Patient.name","usual","","",0,1,"Y","","Y","HumanName {[]} {[]}
","病人所属国籍的真实姓名","A name associated with the individual.","A patient may have multiple names with different uses or applicable periods. For animals, the name is a ""HumanName"" in the sense that is assigned and used by humans and has the same patterns.","Need to be able to track the patient by multiple names. Examples are your official name and a partner name.","","","","","","","",,,,,"",,,,"Patient.name",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
rl-patient-name:Patient.name.text or Patient.name.family or both SHALL be present {text.exists() or family.exists()}","name",".patient.name","PID-5, PID-9"
"Patient.name:usual.id","Patient.name.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Patient.name:usual.extension","Patient.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Patient.name:usual.use","Patient.name.use","","","",1,1,"Y","Y","Y","code {[]} {[]}
","usual | official | temp | nickname | anonymous | old | maiden","Identifies the purpose for this name.","Applications can assume that a name is current unless it explicitly says that it is temporary or old.","Allows the appropriate name for a particular context of use to be selected from among a set of names.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""usual""/>","","","",,"required","The use of a human name.","http://hl7.org/fhir/ValueSet/name-use|4.0.1","",,,,"HumanName.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","unique(./use)","XPN.7, but often indicated by which field contains the name"
"Patient.name:usual.text","Patient.name.text","","","",0,1,"Y","","Y","string {[]} {[]}
","完整的中文姓名","完整姓名的文字表述。由于世界各地的文化差异，取得资料的系统可能不知道如何正确地呈现姓名；此外，不是所有的名字部分都呈现予姓或名。因此，我们强烈建议创建者透过这个资料项目提供姓名的显示文字。","可以同时提供文字表述（text）和部分（part）。更新姓名的应用程序 **必须（SHALL）** 确保当test和lpart都存在时，text中不包含part中没有的内容。","一个可呈现的、未编码的形式。","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""陈加玲""/>","","",,,,,"",,,,"HumanName.text",0,1,"rl-patient-name
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./formatted","implied by XPN.11"
"Patient.name:usual.family","Patient.name.family","","surname
","",0,1,"Y","","Y","string {[]} {[]}
","若所属国籍可区分family及given，填入所属国籍之姓（family）","姓名中与族谱相关的部分。在一些文化中（如厄立特里亚），儿子的姓氏是其父亲的名字。","姓氏可以使用扩充名（de、nl、es相关文化）分解成具体的部分（part）","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""陈""/>","","",,,,,"",,,,"HumanName.family",0,1,"rl-patient-name
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = FAM]","XPN.1/FN.1"
"Patient.name:usual.given","Patient.name.given","","first name
middle name","",0,*,"Y","","Y","string {[]} {[]}
","若所属国籍可区分family及given，填入所属国籍之名（given）","姓名中的「名」","如果只记录首字母，可以用它们来代替完整姓名。首字母可以分为多个名，但由于实际情况的限制，通常不会这样做。这个资料项目不被称为 「first name」，因为「given name」并不总是排在前面。","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""加玲""/>","","",,,,,"",,,,"HumanName.given",0,*,"rl-patient-name
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","./part[partType = GIV]","XPN.2 + XPN.3"
